Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,-9999
341,Pat O'Connor,28,TAM,DE,13,0,0,0,0,0,0,0,0,0,0,0,0.5,4,2,2,1,2,0,,OConPa00
342,Carl Nassib,28,LVR,DE,13,0,0,0,0,0,0,1,0,0,0,0,1.5,21,16,5,3,4,0,,NassCa00
343,DeMarcus Walker,27,HOU,DE,13,2,0,0,0,0,1,1,0,0,0,0,2.0,31,21,10,4,7,0,,WalkDe03
344,Cameron Sample,22,CIN,DE,14,0,0,0,0,0,0,0,0,0,0,0,1.5,14,9,5,1,5,0,,SampCa00
345,A.J. Epenesa,23,BUF,DE,14,0,0,0,0,0,1,0,0,0,0,0,1.5,14,8,6,2,9,0,,EpenAJ00
346,Victor Dimukeje,22,ARI,DE,14,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,3,0,1,0,,DimuVi00
347,Joe Gaziano,25,LAC,DE,14,1,0,0,0,0,1,0,0,0,0,0,0.0,13,8,5,1,2,0,,GaziJo01
348,Yetur Gross-Matos,23,CAR,DE,14,2,0,0,0,0,1,1,0,0,0,0,3.5,28,18,10,5,4,0,,GrosYe00
349,Christian Ringo,29,NOR,DE,14,4,0,0,0,0,0,1,0,1,0,0,0.0,26,12,14,2,3,0,,RingCh00
350,Derrek Tuszka,24,PIT,DE,15,0,0,0,0,0,0,1,0,0,0,0,2.0,18,9,9,1,2,0,,TuszDe00
351,Raymond Johnson,23,NYG,DE,15,0,0,0,0,0,0,0,0,0,0,0,1.0,4,3,1,1,1,0,,JohnRa02
352,Odafe Oweh,23,BAL,DE,15,2,0,0,0,0,1,3,0,2,0,0,5.0,33,23,10,5,15,0,,OwehJa00
353,Charles Omenihu,24,2TM,DE,15,2,0,0,0,0,1,0,0,0,0,0,0.0,17,14,3,1,4,0,,OmenCh00
354,Carl Granderson,25,NOR,DE,15,3,0,0,0,0,0,0,0,0,0,0,3.0,25,11,14,5,8,0,,GranCa01
355,Clelin Ferrell,24,LVR,DE,16,0,0,0,0,0,1,0,0,0,0,0,1.5,14,8,6,1,6,0,,FerrCl00
356,Jonathan Garvin,22,GNB,DE,16,1,0,0,0,0,0,0,0,0,0,0,1.5,19,15,4,1,5,0,,GarvJo00
357,Michael Dogbe,25,ARI,DE,16,1,0,0,0,0,0,0,0,1,0,0,1.0,27,14,13,1,2,0,,DogbMi00
358,Alton Robinson,23,SEA,DE,16,2,0,0,0,0,1,1,0,0,0,0,1.0,22,13,9,5,3,0,,RobiAl03
359,Ryan Kerrigan,33,PHI,DE,16,2,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,1,2,0,,KerrRy00
360,Adam Gotsis,29,JAX,DE,16,4,0,0,0,0,0,0,0,0,0,0,3.0,27,20,7,6,7,0,,GotsAd00
361,Solomon Thomas,26,LVR,DE,17,0,0,0,0,0,2,2,0,0,0,0,3.5,34,17,17,3,12,0,,ThomSo00
362,Alex Okafor,30,KAN,DE,17,0,0,0,0,0,2,1,0,0,0,0,1.5,23,7,16,0,7,0,,OkafAl00
363,Arden Key,25,SFO,DE,17,0,0,0,0,0,1,0,0,0,0,0,6.5,22,11,11,5,17,0,,KeyxAr00
364,Tarron Jackson,23,PHI,DE,17,0,0,0,0,0,0,1,0,0,0,0,1.0,18,11,7,2,1,0,,JackTa02
365,Mario Addison,34,BUF,DE,17,0,0,0,0,0,0,2,0,0,0,0,7.0,29,20,9,8,7,0,,AddiMa00
366,Tershawn Wharton,23,KAN,DE,17,1,1,0,0,0,1,2,0,0,0,0,2.0,29,13,16,0,2,0,,WharTe00
367,Jihad Ward,27,JAX,DE,17,1,0,0,0,0,0,0,0,0,0,0,2.0,32,10,22,3,7,0,,WardJi02
368,Kentavius Street,25,SFO,DE,17,2,0,0,0,0,0,1,0,0,0,0,3.0,27,15,12,6,5,0,,StreKe00
369,Anthony Nelson,24,TAM,DE,17,2,0,0,0,0,1,0,0,1,0,0,5.0,22,13,9,7,10,0,,NelsAn01
370,Patrick Johnson,23,PHI,DE,17,2,0,0,0,0,0,0,0,0,0,0,0.0,17,11,6,1,0,0,,JohnPa02
371,Carlos Dunlap,32,SEA,DE,17,2,0,0,0,0,7,1,0,0,0,0,8.5,35,24,11,8,14,0,,DunlCa99
372,Michael Hoecht,24,LAR,DL,17,3,0,0,0,0,0,0,0,0,0,0,0.0,7,6,1,0,0,0,,HoecMi00
373,Renell Wren,26,CIN,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,,WrenRe00
374,Marvin Wilson,23,PHI,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,,WilsMa05
375,Xavier Williams,29,HOU,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,,WillXa00
376,Marquiss Spencer,24,DEN,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,,SpenMa00
377,Akeem Spence,30,WAS,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,,SpenAk00
378,T.J. Smith,24,MIN,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,,SmitTJ00
379,Benning Potoa'e,25,TAM,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,,PotoBe00
380,Braxton Hoyett,25,NOR,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,1,0,0,,HoyeBr01
381,Frank Herron,27,CAR,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,HerrFr00
382,Austin Faoliu,22,DAL,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,,FaolAu00
383,Doug Costin,24,JAX,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,CostDo00
384,Raequan Williams,24,PHI,DT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,,WillRa03
385,Vincent Taylor,27,HOU,DT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,,TaylVi00
386,Woodrow Hamilton,29,NYG,DT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,,HamiWo00
387,T.Y. McGill,29,MIN,DT,2,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,1,0,1,0,,McGiT.00
388,Isaiah Mack,25,BAL,DT,2,0,0,0,0,0,0,0,0,0,0,0,1.0,3,1,2,1,1,0,,MackIs00
389,Maurice Hurst Jr.,26,SFO,DT,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,1,0,0,,HursMa00
390,Brandin Bryant,28,BUF,DT,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,1,0,,BryaBr00
391,Andrew Brown,26,LAC,DT,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,BrowAn05
392,Daniel Archibong,24,PIT,DT,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,,ArchDa01
393,Myles Adams,23,SEA,DT,2,0,0,0,0,0,0,0,0,0,0,0,0.0,5,0,5,0,1,0,,AdamMy00
394,Mike Daniels,32,CIN,DT,2,1,0,0,0,0,0,0,0,0,0,0,0.0,5,5,0,1,0,0,,DaniMi00
395,Tyler Shelvin,23,CIN,DT,3,0,0,0,0,0,0,0,0,0,0,0,0.0,4,1,3,0,0,0,,ShelTy00
396,Phil Hoskins,24,CAR,DT,3,0,0,0,0,0,0,0,0,0,0,0,1.0,4,3,1,1,1,0,,HoskPh00
397,Bruce Hector,27,DET,DT,3,0,0,0,0,0,0,0,0,0,0,0,0.0,5,3,2,0,0,0,,HectBr00
398,Jonathan Harris,25,DEN,DT,3,0,0,0,0,0,0,0,0,0,0,0,0.0,10,7,3,0,1,0,,HarrJo05
399,Michael Dwumfour,23,HOU,DT,3,1,0,0,0,0,0,0,0,0,0,0,0.5,5,3,2,2,3,0,,DwumMi00
400,Jay Tufele,22,JAX,DT,4,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,,TufeJa00
401,Forrest Merrill,25,LAC,DT,4,0,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,,MerrFo00
402,Jonathan Marshall,24,NYJ,DT,4,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,1,0,,MarsJo00
403,Jack Heflin,23,GNB,DT,4,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,,HeflJa00
404,Trent Harris,26,NYG,DT,4,0,0,0,0,0,0,0,0,0,0,0,0.0,7,3,4,0,0,0,,HarrTr01
405,Carlos Davis,25,PIT,DT,4,0,0,0,0,0,0,0,0,0,0,0,0.0,5,3,2,1,0,0,,DaviCa03
406,David Moa,25,NYG,DT,4,1,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,,MoaxDa00
407,Javon Kinlaw,24,SFO,DT,4,4,0,0,0,0,0,0,0,0,0,0,0.0,8,1,7,0,1,0,,KinlJa00
408,Marlon Tuipulotu,22,PHI,DT,5,0,0,0,0,0,0,0,0,0,0,0,0.0,5,1,4,0,0,0,,TuipMa00
409,Kahlil McKenzie,24,BAL,DT,5,0,0,0,0,0,0,0,0,0,0,0,0.0,4,1,3,0,0,0,,McKeKa00
410,Neville Gallimore,24,DAL,DT,5,4,0,0,0,0,0,0,0,0,0,0,1.5,13,5,8,3,2,0,,GallNe00
411,Justin Zimmer,29,BUF,DT,6,0,0,0,0,0,0,0,0,0,0,0,1.0,8,2,6,2,4,0,,ZimmJu00
412,Jacob Tuioti-Mariner,25,ATL,DT,6,0,0,0,0,0,1,0,0,0,0,0,2.0,9,5,4,2,2,0,,TuioJa00
413,Tommy Togiai,22,CLE,DT,6,0,0,0,0,0,1,0,0,0,0,0,0.5,16,9,7,0,1,0,,TogiTo00
414,Kevin Strong,25,2TM,DT,6,0,0,0,0,0,0,0,0,0,0,0,0.0,6,4,2,0,0,0,,StroKe00
415,Trysten Hill,23,DAL,DT,6,0,0,0,0,0,0,0,0,0,0,0,0.5,11,7,4,0,3,0,,HillTr00
416,Daniel Wise,25,WAS,DT,6,1,0,0,0,0,0,0,0,0,0,0,0.0,10,5,5,1,1,0,,WiseDa01
417,Eli Ankou,27,2TM,DT,6,1,0,0,0,0,0,0,0,0,0,0,1.0,12,5,7,1,1,0,,AnkoEl00
418,Antwaun Woods,28,IND,DT,7,0,0,0,0,0,0,0,0,0,0,0,0.0,5,2,3,0,0,0,,WoodAn02
419,Khalen Saunders,25,KAN,DT,7,0,0,0,0,0,0,0,0,0,0,0,0.0,8,2,6,0,0,0,,SaunKh00
420,Daviyon Nixon,23,CAR,DT,7,0,0,0,0,0,0,0,0,0,0,0,0.5,9,1,8,0,2,0,,NixoDa00
421,Zach Kerr,31,2TM,DT,7,0,0,0,0,0,0,0,0,0,0,0,0.0,6,2,4,0,0,0,,KerrZa00
422,Daniel Ekuale,27,NWE,DT,7,0,0,0,0,0,0,0,0,0,0,0,2.0,5,4,1,2,2,0,,EkuaDa00
423,Josiah Bronson,24,2TM,DT,7,0,0,0,0,0,0,0,0,0,0,0,0.0,12,8,4,1,1,0,,BronJo01
424,McTelvin Agim,24,DEN,DT,7,0,0,0,0,0,1,0,0,0,0,0,1.5,4,2,2,1,3,0,,AgimMc00
425,Sheldon Day,27,CLE,DT,7,1,0,0,0,0,2,0,0,0,0,0,1.0,21,7,14,0,1,0,,DayxSh00
426,Malcolm Roach,23,NOR,DT,7,2,1,5,0,5,1,0,0,0,0,0,0.0,10,4,6,0,2,0,,RoacMa01
427,John Jenkins,32,MIA,DT,7,2,0,0,0,0,0,0,0,0,0,0,0.0,16,10,6,0,0,0,,JenkJo00
