,Player,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
218,javon kinlaw,10.5,5.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.75,16.5,7.0,9.5,2.0,3.5,0.0,0.0
219,javon solomon,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,13.0,9.0,4.0,3.0,6.0,0.0,0.0
220,javontae jean-baptiste,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,6.0,7.0,1.0,2.0,0.0,0.0
221,jay tufele,8.5,1.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.125,11.0,4.0,7.0,0.75,1.0,0.0,0.0
222,jayden peevy,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,6.0,2.0,4.0,1.0,3.0,0.0,0.0
223,jaylon ferguson,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,3.0,0.0,0.0
224,jeff gunter,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
225,jeffery simmons,15.0,15.0,0.0,0.0,0.0,0.0,4.5,1.0,0.0,0.75,0.5,0.0,6.625,57.0,34.5,22.5,10.5,12.5,0.0,7.0
226,jeremiah ledbetter,16.0,2.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,31.0,13.5,17.5,4.5,2.5,0.0,0.0
227,jeremiah pharms,14.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,21.0,10.0,11.0,2.0,2.5,0.0,0.0
228,jermaine johnson ii,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,29.0,18.0,11.0,3.0,5.0,1.0,0.0
229,jerry hughes,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.5,18.5,13.0,5.5,2.0,1.5,0.0,0.0
230,jerry tillery,15.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,13.0,5.0,0.0,4.0,0.0,0.0
231,jessie lemonier,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,15.0,8.0,7.0,1.0,3.0,0.0,0.0
232,jihad ward,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,32.0,10.0,22.0,3.0,7.0,0.0,0.0
233,joe gaziano,6.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,6.5,4.25,2.25,0.5,0.75,0.0,0.0
234,joe jackson,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,16.0,9.0,7.0,3.0,3.0,0.0,0.0
235,john cominsky,10.0,5.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,19.0,8.0,11.0,1.5,4.0,0.0,0.0
236,john franklin-myers,17.0,17.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.5,33.0,15.0,18.0,6.0,14.0,0.0,0.0
237,john jenkins,13.333333333333334,6.333333333333333,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.3333333333333333,14.666666666666666,0.3333333333333333,0.3333333333333333,32.333333333333336,14.0,18.333333333333332,1.3333333333333333,1.0,0.0,0.0
238,john penisini,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,10.0,0.0,1.0,0.0,0.0
239,john ridgeway,15.0,2.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,23.333333333333332,11.0,12.333333333333334,0.3333333333333333,0.0,0.0,0.0
240,johnathan hankins,13.666666666666666,8.666666666666666,0.3333333333333333,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,25.666666666666668,11.666666666666666,14.0,2.6666666666666665,2.0,0.0,0.0
241,jonah laulu,17.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,15.0,20.0,3.0,2.0,0.0,0.0
242,jonah williams,11.75,5.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.625,20.0,8.25,11.75,1.25,2.0,0.0,0.0
243,jonathan allen,12.0,11.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,4.25,36.0,23.0,13.0,6.5,13.0,0.0,0.0
244,jonathan bullard,13.0,9.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,32.5,16.0,16.5,1.5,1.5,0.0,0.0
245,jonathan ford,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,6.0,1.0,0.0,0.0,0.0
246,jonathan garvin,15.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,13.5,7.5,6.0,0.5,3.5,0.0,0.0
247,jonathan greenard,8.0,4.0,1.0,39.0,1.0,39.0,1.0,0.0,0.0,1.0,0.0,0.0,1.5,16.0,9.0,7.0,6.0,4.0,0.0,0.0
248,jonathan harris,8.75,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,20.75,12.5,8.25,1.75,1.75,0.0,0.0
249,jonathan ledbetter,13.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,34.0,15.5,18.5,1.5,3.0,0.0,0.0
250,jonathan marshall,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0
251,jordan davis,15.0,11.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.25,31.5,13.0,18.5,1.5,2.5,0.0,0.0
252,jordan elliott,16.5,8.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,23.5,12.0,11.5,1.5,3.5,0.0,0.0
253,jordan jackson,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,17.0,4.0,13.0,1.0,2.0,0.0,0.0
254,jordan jefferson,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,5.0,7.0,1.0,1.0,0.0,0.0
255,jordan phillips,11.666666666666666,3.3333333333333335,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,13.666666666666666,7.666666666666667,6.0,1.6666666666666667,4.333333333333333,0.0,0.0
256,jordan willis,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,12.0,6.0,6.0,3.0,4.0,0.0,0.0
257,jordon riley,10.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.5,4.5,2.0,0.5,0.0,0.0
258,joseph ossai,15.666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,3.1666666666666665,24.333333333333332,12.666666666666666,11.666666666666666,2.3333333333333335,10.666666666666666,0.0,0.0
259,josh mauro,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0
