player,pos,school,wt,40yd,vertical,bench,broad jump,3cone,shuttle,ht_num,round
Eyioma Uwazurike,DT,Iowa St.,316,NA,33.0,NA,107,NA,NA,6.5,4
Cordell Volson,OG,North Dakota St.,315,5.27,25.0,25,104,8.31,4.93,6.5,4
Matt Waletzko,OT,North Dakota,312,5.03,30.0,NA,113,NA,NA,6.666666666666667,5
Kenneth Walker,RB,Michigan St.,211,4.38,34.0,NA,122,NA,NA,5.75,2
Quay Walker,LB,Georgia,241,4.52,32.0,NA,122,NA,NA,6.333333333333333,1
Rasheed Walker,OT,Penn St.,313,NA,NA,NA,NA,NA,NA,6.5,7
Travon Walker,DE,Georgia,272,4.51,35.5,NA,123,6.89,4.32,6.416666666666667,1
Christian Watson,WR,North Dakota St.,208,4.36,38.5,NA,136,NA,NA,6.333333333333333,2
Jaylen Watson,CB,Washington St.,197,4.51,NA,18,NA,NA,NA,6.166666666666667,7
Luke Wattenberg,C,Washington,299,5.20,29.5,NA,113,7.45,4.57,6.333333333333333,5
Rachaad White,RB,Arizona St.,214,4.48,38.0,NA,125,NA,NA,6.0,3
Zamir White,RB,Georgia,214,4.40,33.5,NA,128,NA,NA,6.0,4
Damarion Williams,CB,Houston,182,NA,34.5,17,118,NA,NA,5.833333333333333,4
Jameson Williams,WR,Alabama,179,NA,NA,NA,NA,NA,NA,6.166666666666667,1
Joshua Williams,CB,Fayetteville St. University,195,4.53,36.0,NA,124,NA,NA,6.25,4
Kyren Williams,RB,Notre Dame,194,4.65,32.0,NA,116,NA,NA,5.75,5
Sam Williams,EDGE,Mississippi,261,4.46,32.5,NA,123,NA,NA,6.333333333333333,2
Malik Willis,QB,Liberty,219,NA,NA,NA,NA,NA,NA,6.083333333333333,3
Garrett Wilson,WR,Ohio St.,183,4.38,36.0,NA,123,NA,4.36,6.0,1
Perrion Winfrey,DT,Oklahoma,290,4.89,NA,NA,NA,NA,NA,6.333333333333333,4
Jelani Woods,TE,Virginia,259,4.61,NA,24,NA,NA,NA,6.583333333333333,3
JT Woods,S,Baylor,195,4.36,39.5,NA,128,NA,NA,6.166666666666667,3
Mike Woods,WR,Oklahoma,204,4.55,34.5,NA,125,NA,NA,6.083333333333333,6
Tariq Woolen,CB,Texas-San Antonio,205,4.26,42.0,NA,NA,NA,NA,6.333333333333333,5
Alex Wright,DE,Alabama-Birmingham,271,NA,NA,15,NA,NA,NA,6.416666666666667,3
Devonte Wyatt,DT,Georgia,304,4.77,29.0,NA,111,NA,NA,6.25,1
Cade York,K,LSU,206,NA,NA,12,NA,NA,NA,6.083333333333333,4
Nick Zakelj,OT,Fordham,316,5.13,28.5,27,110,7.75,4.71,6.5,6
Bailey Zappe,QB,Western Kentucky,215,4.88,30.0,NA,109,7.19,4.40,6.083333333333333,4
